address,phase
809 E 2 AVE,Phase 4
821 E 2 AVE,Phase 4
833 E 2 AVE,Phase 4
903 E 2 AVE,Phase 4
921 E 2 AVE,Phase 4
927 E 2 AVE,Phase 4
1015 E 2 AVE,Phase 4
1019 E 2 AVE,Phase 4
1021 E 2 AVE,Phase 4
1025 E 2 AVE,Phase 4
811 E 3 AVE,Phase 4
813 E 3 AVE,Phase 4
816 E 3 AVE,Phase 4
820 E 3 AVE,Phase 4
823 E 3 AVE,Phase 4
1030 E 3 AVE,Phase 4
1040 E 3 AVE,Phase 4
812 E 5 AVE,Phase 4
1018 E 5 AVE,Phase 4
1020 E 5 AVE,Phase 4
1030 E 5 AVE,Phase 4
302 S 10 ST,Phase 4
306 S 10 ST,Phase 4
330 S 10 ST,Phase 4
340 S 10 ST,Phase 4
404 S 10 ST,Phase 4
500 S 10 ST,Phase 4
504 S 10 ST,Phase 4
323 S 7 ST,Phase 4
331 S 7 ST,Phase 4
335 S 7 ST,Phase 4
529 S 7 ST,Phase 4
316 S 8 ST,Phase 4
320 S 8 ST,Phase 4
322 S 8 ST,Phase 4
333 S 8 ST,Phase 4
340 S 8 ST,Phase 4
415 S 8 ST,Phase 4
420 S 8 ST,Phase 4
425 S 8 ST,Phase 4
503 S 8 ST,Phase 4
504 S 8 ST,Phase 4
518 S 8 ST,Phase 4
303 S 9 ST,Phase 4
335 S 9 ST,Phase 4
336 S 9 ST,Phase 4
338 S 9 ST,Phase 4
417 S 9 ST,Phase 4
507 S 9 ST,Phase 4
532 S 9 ST,Phase 4
703 E 2 AVE,Phase 5
715 E 2 AVE,Phase 5
721 E 2 AVE,Phase 5
735 E 2 AVE,Phase 5
700 E 3 AVE,Phase 5
720 E 3 AVE,Phase 5
733 E 3 AVE,Phase 5
711 E 5 AVE,Phase 5
714 E 5 AVE,Phase 5
727 E 5 AVE,Phase 5
801 E 5 AVE,Phase 5
813 E 5 AVE,Phase 5
821 E 5 AVE,Phase 5
719 E 6 AVE,Phase 5
731 E 6 AVE,Phase 5
739 E 6 AVE,Phase 5
743 E 6 AVE,Phase 5
744 E 6 AVE,Phase 5
802 E 6 AVE,Phase 5
808 E 6 AVE,Phase 5
809 E 6 AVE,Phase 5
833 E 6 AVE,Phase 5
620 S 6 1/2 ST,Phase 5
714 S 6 1/2 ST,Phase 5
719 S 6 1/2 ST,Phase 5
323 S 6 ST,Phase 5
327 S 6 ST,Phase 5
333 S 6 ST,Phase 5
403 S 6 ST,Phase 5
505 S 6 ST,Phase 5
511 S 6 ST,Phase 5
519 S 6 ST,Phase 5
521 S 6 ST,Phase 5
525 S 6 ST,Phase 5
