address,phase
1036 E BOSTON AVE,Phase 11
1042 E BOSTON AVE,Phase 11
1110 E BOSTON AVE,Phase 11
1020 E BROADWAY,Phase 11
1026 E BROADWAY,Phase 11
1030 E BROADWAY,Phase 11
1102 E BROADWAY,Phase 11
1020 E DETROIT AVE,Phase 11
1021 E DETROIT AVE,Phase 11
1029 E DETROIT AVE,Phase 11
1031 E DETROIT AVE,Phase 11
1043 E DETROIT AVE,Phase 11
1103 E DETROIT AVE,Phase 11
1111 E DETROIT AVE,Phase 11
1035 E EUCLID AVE,Phase 11
1045 E EUCLID AVE,Phase 11
1051 E EUCLID AVE,Phase 11
1111 E EUCLID AVE,Phase 11
114 N 10 ST,Phase 11
214 N 10 ST,Phase 11
246 N 10 ST,Phase 11
317 N 10 ST,Phase 11
330 N 10 ST,Phase 11
407 N 10 ST,Phase 11
408 N 10 ST,Phase 11
410 N 10 ST,Phase 11
415 N 10 ST,Phase 11
510 N 10 ST,Phase 11
512 N 10 ST,Phase 11
515 N 10 ST,Phase 11
518 N 10 ST,Phase 11
208 E ARCHER AVE,Phase 12
212 E ARCHER AVE,Phase 12
210 E BOSTON AVE,Phase 12
215 E BOSTON AVE,Phase 12
201 E BROADWAY,Phase 12
310 E BROADWAY,Phase 12
316 E CLINTON AVE,Phase 12
204 E DETROIT AVE,Phase 12
303 E DETROIT AVE,Phase 12
310 E DETROIT AVE,Phase 12
315 E DETROIT AVE,Phase 12
316 E DETROIT AVE,Phase 12
111 E EUCLID AVE,Phase 12
219 E EUCLID AVE,Phase 12
504 N 1 ST,Phase 12
508 N 1 ST,Phase 12
515 N 1 ST,Phase 12
519 N 1 ST,Phase 12
525 N 1 ST,Phase 12
526 N 1 ST,Phase 12
125 N 2 ST,Phase 12
200 N 2 ST,Phase 12
207 N 2 ST,Phase 12
213 N 2 ST,Phase 12
215 N 2 ST,Phase 12
304 N 2 ST,Phase 12
305 N 2 ST,Phase 12
309 N 2 ST,Phase 12
310 N 2 ST,Phase 12
317 N 2 ST,Phase 12
318 N 2 ST,Phase 12
323 N 2 ST,Phase 12
324 N 2 ST,Phase 12
327 N 2 ST,Phase 12
402 N 2 ST,Phase 12
409 N 2 ST,Phase 12
416 N 2 ST,Phase 12
427 N 2 ST,Phase 12
428 N 2 ST,Phase 12
120 N 3 ST,Phase 12
202 N 3 ST,Phase 12
214 N 3 ST,Phase 12
222 N 3 ST,Phase 12
316 N 3 ST,Phase 12
416 N 3 ST,Phase 12
428 N 3 ST,Phase 12
511 N MAIN ST,Phase 12
400 N A ST,Phase 13
410 N A ST,Phase 13
401 N B ST,Phase 13
403 N B ST,Phase 13
407 N B ST,Phase 13
408 N B ST,Phase 13
409 N B ST,Phase 13
417 N B ST,Phase 13
421 N B ST,Phase 13
422 N B ST,Phase 13
424 N B ST,Phase 13
508 N B ST,Phase 13
518 N B ST,Phase 13
302 N C ST,Phase 13
401 N C ST,Phase 13
402 N C ST,Phase 13
411 N C ST,Phase 13
418 N C ST,Phase 13
423 N C ST,Phase 13
430 N C ST,Phase 13
512 N C ST,Phase 13
514 N C ST,Phase 13
515 N C ST,Phase 13
521 N C ST,Phase 13
526 N C ST,Phase 13
322 N D ST,Phase 13
324 N D ST,Phase 13
329 N D ST,Phase 13
400 N D ST,Phase 13
403 N D ST,Phase 13
412 N D ST,Phase 13
415 N D ST,Phase 13
421 N D ST,Phase 13
502 N D ST,Phase 13
515 N D ST,Phase 13
516 N D ST,Phase 13
519 N D ST,Phase 13
421 N E ST,Phase 13
427 N E ST,Phase 13
505 N E ST,Phase 13
521 N E ST,Phase 13
412 W BOSTON AVE,Phase 13
508 W BOSTON AVE,Phase 13
214 W CLINTON AVE,Phase 13
218 W CLINTON AVE,Phase 13
417 W CLINTON AVE,Phase 13
524 W CLINTON AVE,Phase 13
215 W DETROIT AVE,Phase 13
217 W DETROIT AVE,Phase 13
300 W DETROIT AVE,Phase 13
310 W DETROIT AVE,Phase 13
320 W DETROIT AVE,Phase 13
416 W DETROIT AVE,Phase 13
511 W DETROIT AVE,Phase 13
522 W DETROIT AVE,Phase 13
317 W EUCLID AVE,Phase 13
319 W EUCLID AVE,Phase 13
600 N B ST,Phase 14
611 N B ST,Phase 14
613 N B ST,Phase 14
622 N B ST,Phase 14
702 N B ST,Phase 14
707 N B ST,Phase 14
711 N B ST,Phase 14
719 N B ST,Phase 14
723 N B ST,Phase 14
813 N B ST,Phase 14
816 N B ST,Phase 14
830 N B ST,Phase 14
615 N C ST,Phase 14
721 N C ST,Phase 14
800 N C ST,Phase 14
804 N C ST,Phase 14
806 N C ST,Phase 14
807 N C ST,Phase 14
808 N C ST,Phase 14
810 N C ST,Phase 14
813 N C ST,Phase 14
819 N C ST,Phase 14
820 N C ST,Phase 14
829 N C ST,Phase 14
831 N C ST,Phase 14
615 N D ST,Phase 14
716 N D ST,Phase 14
720 N D ST,Phase 14
800 N D ST,Phase 14
801 N D ST,Phase 14
807 N D ST,Phase 14
808 N D ST,Phase 14
809 N D ST,Phase 14
812 N D ST,Phase 14
816 N D ST,Phase 14
818 N D ST,Phase 14
820 N D ST,Phase 14
821 N D ST,Phase 14
823 N D ST,Phase 14
827 N D ST,Phase 14
840 N D ST,Phase 14
320 W EUCLID AVE,Phase 14
219 W FRANKLIN AVE,Phase 14
220 W FRANKLIN AVE,Phase 14
221 W FRANKLIN AVE,Phase 14
223 W FRANKLIN AVE,Phase 14
411 W FRANKLIN AVE,Phase 14
216 W GIRARD AVE,Phase 14
306 W GIRARD AVE,Phase 14
423 W HARLEM AVE,Phase 14
406 E FRANKLIN AVE,Phase 15
412 E FRANKLIN AVE,Phase 15
502 E FRANKLIN AVE,Phase 15
522 E FRANKLIN AVE,Phase 15
614 E FRANKLIN AVE,Phase 15
316 E GIRARD AVE,Phase 15
404 E GIRARD AVE,Phase 15
408 E GIRARD AVE,Phase 15
411 E GIRARD AVE,Phase 15
412 E GIRARD AVE,Phase 15
416 E GIRARD AVE,Phase 15
417 E GIRARD AVE,Phase 15
421 E GIRARD AVE,Phase 15
401 E HARLEM AVE,Phase 15
405 E HARLEM AVE,Phase 15
409 E HARLEM AVE,Phase 15
601 E HARLEM AVE,Phase 15
714 N 3 ST,Phase 15
715 N 3 ST,Phase 15
718 N 3 ST,Phase 15
719 N 3 ST,Phase 15
721 N 3 ST,Phase 15
801 N 3 ST,Phase 15
804 N 3 ST,Phase 15
811 N 3 ST,Phase 15
815 N 3 ST,Phase 15
830 N 3 ST,Phase 15
715 N 5 ST,Phase 15
717 N 5 ST,Phase 15
719 N 5 ST,Phase 15
720 N 5 ST,Phase 15
702 N 6 ST,Phase 15
800 N 6 ST,Phase 15
806 N 6 ST,Phase 15
818 N 6 ST,Phase 15
668 210TH AVE,Phase 16
698 210TH AVE,Phase 16
1100 E JACKSON AVE,Phase 16
1112 E JACKSON AVE,Phase 16
1120 KIMBERLY DR,Phase 16
1124 KIMBERLY DR,Phase 16
1125 KIMBERLY DR,Phase 16
1126 KIMBERLY DR,Phase 16
1128 KIMBERLY DR,Phase 16
1129 KIMBERLY DR,Phase 16
1131 KIMBERLY DR,Phase 16
1133 KIMBERLY DR,Phase 16
202 MAPLE CITY DR,Phase 16
1110 N 11 ST,Phase 16
1207 N 11 ST,Phase 16
1018 N 6 ST,Phase 16
1120 N 6 ST,Phase 16
1121 N 6 ST,Phase 16
1223 N 6 ST,Phase 16
1291 N 6 ST,Phase 16
1198 N MAIN ST,Phase 16
1200 N MAIN ST,Phase 16
1202 N MAIN ST,Phase 16
1225 N MAIN ST,Phase 16
1301 N MAIN ST,Phase 16
1410 N MAIN ST,Phase 16
1416 N MAIN ST,Phase 16
1420 N MAIN ST,Phase 16
614 N PARK PLACE,Phase 16
620 N PARK PLACE,Phase 16
626 N PARK PLACE,Phase 16
2058 US HIGHWAY 67,Phase 16
2066 US HIGHWAY 67,Phase 16
2070 US HIGHWAY 67,Phase 16
2101 US HIGHWAY 67,Phase 16
